0 ERROR [main] ants.GebiBot  - Test
121 DEBUG [main] ants.GebiBot  - kante nach unten
121 DEBUG [main] ants.GebiBot  - kante nach rechts
121 DEBUG [main] ants.GebiBot  - kante nach unten
122 DEBUG [main] ants.GebiBot  - kante nach rechts
122 DEBUG [main] ants.GebiBot  - kante nach unten
122 DEBUG [main] ants.GebiBot  - kante nach rechts
122 DEBUG [main] ants.GebiBot  - kante nach unten
122 DEBUG [main] ants.GebiBot  - kante nach rechts
122 DEBUG [main] ants.GebiBot  - kante nach unten
122 DEBUG [main] ants.GebiBot  - kante nach rechts
122 DEBUG [main] ants.GebiBot  - kante nach unten
